_id,co_uf,no_uf,ano,variavel,social_categoria,social_subcategoria,valor
106,12,AC,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1118.5
107,12,AC,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,90737.0
108,12,AC,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,97873134.0
109,12,AC,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2032.39
110,12,AC,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,90888.0
111,12,AC,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,184403807.0
112,12,AC,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3630.01
113,12,AC,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,128083.0
114,12,AC,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,463983893.0
115,13,AM,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,907.49
116,13,AM,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,104135.0
117,13,AM,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,67545759.0
118,13,AM,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,870.05
119,13,AM,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,147266.0
120,13,AM,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,103635883.0
121,13,AM,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,827.41
122,13,AM,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,204075.0
123,13,AM,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,153300149.0
124,13,AM,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,909.02
125,13,AM,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,216487.0
126,13,AM,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,192924893.0
127,13,AM,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1090.25
128,13,AM,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,222542.0
129,13,AM,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,242908837.0
130,13,AM,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1209.7
131,13,AM,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,263064.0
132,13,AM,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,297805814.0
133,13,AM,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1309.38
134,13,AM,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,278893.0
135,13,AM,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,363029883.0
136,13,AM,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1531.55
137,13,AM,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,307276.0
138,13,AM,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,453135908.0
139,13,AM,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1827.31
140,13,AM,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,332516.0
141,13,AM,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,592418676.0
142,13,AM,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2150.4
143,13,AM,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,358836.0
144,13,AM,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,725029658.0
145,13,AM,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2326.9
146,13,AM,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,358516.0
147,13,AM,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,838659333.0
148,13,AM,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2444.13
149,13,AM,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,362009.0
150,13,AM,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,871084574.0
151,13,AM,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2556.75
152,13,AM,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,370487.0
153,13,AM,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,948077427.0
154,13,AM,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2693.17
155,13,AM,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,386832.0
156,13,AM,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1015626200.0
157,13,AM,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2715.31
158,13,AM,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,408675.0
159,13,AM,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1085790134.0
160,13,AM,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2757.76
161,13,AM,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,387230.0
162,13,AM,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1106537055.0
163,13,AM,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,897.95
164,13,AM,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,410417.0
165,13,AM,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,350816544.0
166,13,AM,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1545.93
167,13,AM,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,405104.0
168,13,AM,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,627969353.0
169,13,AM,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3590.68
170,13,AM,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,618809.0
171,13,AM,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2190230302.0
172,14,RR,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,885.29
173,14,RR,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,14522.0
174,14,RR,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,8357672.0
175,14,RR,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,833.08
176,14,RR,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,17583.0
177,14,RR,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,12849960.0
178,14,RR,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,830.82
179,14,RR,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,31850.0
180,14,RR,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,21979343.0
181,14,RR,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,906.46
182,14,RR,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,32344.0
183,14,RR,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,28809074.0
184,14,RR,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1104.26
185,14,RR,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,33622.0
186,14,RR,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,37135525.0
187,14,RR,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1217.87
188,14,RR,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,41201.0
189,14,RR,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,48064116.0
190,14,RR,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1312.55
191,14,RR,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,42213.0
192,14,RR,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,54983920.0
193,14,RR,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1524.43
194,14,RR,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,45574.0
195,14,RR,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,68796356.0
196,14,RR,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1764.91
197,14,RR,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,47303.0
198,14,RR,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,82008674.0
199,14,RR,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2003.42
200,14,RR,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,46713.0
201,14,RR,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,92971784.0
202,14,RR,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2168.0
203,14,RR,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,48104.0
204,14,RR,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,102887180.0
205,14,RR,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2245.2
206,14,RR,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,46814.0
207,14,RR,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,106471360.0
208,14,RR,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2319.42
209,14,RR,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,47224.0
210,14,RR,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,113115552.0
211,14,RR,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2462.7
212,14,RR,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,43430.0
213,14,RR,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,112091876.0
214,14,RR,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2465.89
215,14,RR,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,47997.0
216,14,RR,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,114491446.0
217,14,RR,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2533.83
218,14,RR,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,44067.0
219,14,RR,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,120047248.0
220,14,RR,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,917.8
221,14,RR,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,52280.0
222,14,RR,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,42347245.0
223,14,RR,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1480.8
224,14,RR,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,51583.0
225,14,RR,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,76588648.0
226,14,RR,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3660.63
227,14,RR,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,68501.0
228,14,RR,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,245865525.0
229,15,PA,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,915.05
230,15,PA,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,259641.0
231,15,PA,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,162275823.0
232,15,PA,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,851.67
233,15,PA,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,337694.0
234,15,PA,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,244861702.0
235,15,PA,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,828.97
236,15,PA,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,506444.0
237,15,PA,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,370230625.0
238,15,PA,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,919.88
239,15,PA,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,532755.0
240,15,PA,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,482918640.0
241,15,PA,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1101.83
242,15,PA,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,528997.0
243,15,PA,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,591852085.0
244,15,PA,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1205.46
245,15,PA,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,635204.0
246,15,PA,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,714241108.0
247,15,PA,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1285.27
248,15,PA,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,680804.0
249,15,PA,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,860577255.0
250,15,PA,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1487.11
251,15,PA,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,772279.0
252,15,PA,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1065831631.0
253,15,PA,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1724.59
254,15,PA,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,813367.0
255,15,PA,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1374529852.0
256,15,PA,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2011.8
257,15,PA,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,860572.0
258,15,PA,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1658481264.0
259,15,PA,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2151.43
260,15,PA,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,887426.0
261,15,PA,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1896916071.0
262,15,PA,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2224.7
263,15,PA,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,890127.0
264,15,PA,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1957280555.0
265,15,PA,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2295.9
266,15,PA,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,898914.0
267,15,PA,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2085567476.0
268,15,PA,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2386.18
269,15,PA,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,931009.0
270,15,PA,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2172358455.0
271,15,PA,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2383.12
272,15,PA,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,966673.0
273,15,PA,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2266243343.0
274,15,PA,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2412.18
275,15,PA,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,925135.0
276,15,PA,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,2315600915.0
277,15,PA,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,763.46
278,15,PA,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,965697.0
279,15,PA,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,710491114.0
280,15,PA,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1236.13
281,15,PA,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,963091.0
282,15,PA,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,1189654016.0
283,15,PA,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3473.62
284,15,PA,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,1333699.0
285,15,PA,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,4455197364.0
286,16,AP,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,912.76
287,16,AP,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,10256.0
288,16,AP,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,8047007.0
289,16,AP,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,843.57
290,16,AP,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,11429.0
